position.x,obj_dois,title_vector,position.y,relationType,relatedIdentifierType,subj_dois,subjtitle_vector
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,10,References,DOI,10.15468/dl.zycegr,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,11,References,DOI,10.15468/dl.5bs8n8,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,12,References,DOI,10.15468/dl.862h55,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,13,References,DOI,10.15468/dl.3yf6de,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,14,References,DOI,10.15468/dl.23aja3,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,15,References,DOI,10.15468/dl.459uag,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,16,References,DOI,10.15468/dl.ajb76z,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,17,References,DOI,10.15468/dl.f8s2hg,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,18,References,DOI,10.15468/dl.vaz2q7,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,19,References,DOI,10.15468/dl.pk3trq,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,20,References,DOI,10.15468/dl.7gzvbw,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,24,References,DOI,10.15468/dl.ucfhd2,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,25,References,DOI,10.15468/dl.mpsknf,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,28,References,DOI,10.15468/dl.fdqx94,Occurrence Download
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
