cruise_name,vessel_name_abbr,zone,station,event_type,station_event_id,alternative_event_id,event_date,year,month,day,time_start,time_end,sampling_duration_minutes,day_night,time_zone_code,minimum_sampling_depth_meters,maximum_sampling_depth_meters,tow_speed_kilometers_per_hour,latitude_start_decdeg,longitude_start_decdeg,latitude_end_decdeg,longitude_end_decdeg,bottom_depth_meters,tow_distance_nautical_miles,wind_direction_degrees,wind_speed_kilometers_per_hour,wave_height_meters,swell_height_meters,weather_description,comments,day_of_year
IYS2022,TINRO,3,32,Trawl,IYS2022-TINRO-3-32-Trawl,NA,2022-03-20T02:52:00Z,2022,3,20,02:52:00,03:52:00,60,day,UTC,0,27.7,8.334,49.1383,-165.1467,49.1383,-165.11,5100,4.5,340,79.2,4,NA,NA,NA,79
IYS2022,TINRO,3,1,CTD,IYS2022-TINRO-3-1-CTD,NA,2022-03-01T15:22:43Z,2022,3,1,15:22:43,15:47:03,24,NA,UTC,0,1000,NA,48.62513,-172.36215,48.62285,-172.35773,5200,NA,250,50.4,3,NA,NA,NA,60
IYS2022,TINRO,3,2,CTD,IYS2022-TINRO-3-2-CTD,NA,2022-03-02T02:11:21Z,2022,3,2,02:11:21,02:36:41,25,NA,UTC,0,1000,NA,47.91104,-171.155,47.90607,-171.1539,5400,NA,250,64.8,4,NA,NA,NA,61
IYS2022,TINRO,3,3,CTD,IYS2022-TINRO-3-3-CTD,NA,2022-03-02T15:30:33Z,2022,3,2,15:30:33,16:02:58,32,NA,UTC,0,1000,NA,47.92146,-169.27314,47.926,-169.25165,5400,NA,250,36,4,NA,NA,NA,61
IYS2022,TINRO,3,4,CTD,IYS2022-TINRO-3-4-CTD,NA,2022-03-03T17:36:11Z,2022,3,3,17:36:11,18:05:16,29,NA,UTC,0,1000,NA,47.12165,-170.24799,47.12521,-170.23476,5500,NA,290,43.2,3,NA,NA,NA,62
IYS2022,TINRO,3,5,CTD,IYS2022-TINRO-3-5-CTD,NA,2022-03-04T03:38:57Z,2022,3,4,03:38:57,04:09:48,31,NA,UTC,0,1000,NA,46.29369,-169.40751,46.28633,-169.4185,5400,NA,285,50.4,3,NA,NA,NA,63
IYS2022,TINRO,3,6,CTD,IYS2022-TINRO-3-6-CTD,NA,2022-03-04T13:04:52Z,2022,3,4,13:04:52,13:34:54,30,NA,UTC,0,1000,NA,45.48726,-168.51651,45.48052,-168.49946,5300,NA,0,0,3,NA,NA,NA,63
IYS2022,TINRO,3,7,CTD,IYS2022-TINRO-3-7-CTD,NA,2022-03-04T21:20:29Z,2022,3,4,21:20:29,21:47:44,27,NA,UTC,0,1000,NA,45.38496,-167.17782,45.38804,-167.19019,5000,NA,110,36,2,NA,NA,NA,63
IYS2022,TINRO,3,8,CTD,IYS2022-TINRO-3-8-CTD,NA,2022-03-05T06:02:03Z,2022,3,5,06:02:03,06:26:14,24,NA,UTC,0,1000,NA,46.39771,-167.20602,46.40116,-167.20499,5400,NA,142,39.6,1.5,NA,NA,NA,64
IYS2022,TINRO,3,9,CTD,IYS2022-TINRO-3-9-CTD,NA,2022-03-05T15:49:39Z,2022,3,5,15:49:39,16:15:00,25,NA,UTC,0,1000,NA,47.50805,-167.25277,47.5107,-167.24741,5400,NA,125,50.4,2,NA,NA,NA,64
IYS2022,TINRO,3,10,CTD,IYS2022-TINRO-3-10-CTD,NA,2022-03-06T00:44:11Z,2022,3,6,00:44:11,01:10:41,26,NA,UTC,0,1000,NA,48.54541,-167.25306,48.54948,-167.24506,5400,NA,110,43.2,2.5,NA,NA,NA,65
IYS2022,TINRO,3,11,CTD,IYS2022-TINRO-3-11-CTD,NA,2022-03-06T10:53:54Z,2022,3,6,10:53:54,11:21:52,28,NA,UTC,0,1000,NA,49.05502,-169.03224,49.06298,-169.03169,5000,NA,55,46.800000000000004,2,NA,NA,NA,65
IYS2022,TINRO,3,12,CTD,IYS2022-TINRO-3-12-CTD,NA,2022-03-06T23:37:14Z,2022,3,6,23:37:14,00:05:39,28,NA,UTC,0,1000,NA,49.53333,-167.32723,49.5312,-167.33957,5200,NA,354,39.6,3,NA,NA,NA,65
IYS2022,TINRO,3,13,CTD,IYS2022-TINRO-3-13-CTD,NA,2022-03-07T14:26:09Z,2022,3,7,14:26:09,14:52:35,26,NA,UTC,0,1000,NA,50.07601,-165.14425,50.07535,-165.15273,5000,NA,0,0,3,NA,NA,NA,66
IYS2022,TINRO,3,14,CTD,IYS2022-TINRO-3-14-CTD,NA,2022-03-08T03:34:17Z,2022,3,8,03:34:17,03:59:45,25,NA,UTC,0,1000,NA,50.55782,-163.03213,50.55741,-163.03909,4500,NA,83,28.8,2.5,NA,NA,NA,67
IYS2022,TINRO,3,15,CTD,IYS2022-TINRO-3-15-CTD,NA,2022-03-08T15:04:01Z,2022,3,8,15:04:01,15:28:18,24,NA,UTC,0,1000,NA,50.88569,-160.95154,50.88175,-160.95577,4900,NA,20,28.8,1.5,NA,NA,NA,67
IYS2022,TINRO,3,16,CTD,IYS2022-TINRO-3-16-CTD,NA,2022-03-09T06:07:48Z,2022,3,9,06:07:48,06:33:01,25,NA,UTC,0,1000,NA,51.29629,-158.38107,51.29583,-158.38914,4000,NA,124,32.4,2.5,NA,NA,NA,68
IYS2022,TINRO,3,17,CTD,IYS2022-TINRO-3-17-CTD,NA,2022-03-09T20:01:17Z,2022,3,9,20:01:17,20:26:56,26,NA,UTC,0,1000,NA,51.8798,-156.03717,51.88539,-156.03798,4600,NA,180,54,2,NA,NA,NA,68
IYS2022,TINRO,3,18,CTD,IYS2022-TINRO-3-18-CTD,NA,2022-03-10T14:19:24Z,2022,3,10,14:19:24,14:44:10,25,NA,UTC,0,1000,NA,50.91935,-156.00761,50.91721,-156.00125,4000,NA,220,64.8,4,NA,NA,NA,69
IYS2022,TINRO,3,19,CTD,IYS2022-TINRO-3-19-CTD,NA,2022-03-11T06:03:51Z,2022,3,11,06:03:51,06:29:22,26,NA,UTC,0,1000,NA,49.88259,-156.00476,49.87958,-156.00458,4400,NA,248,46.800000000000004,3,NA,NA,NA,70
IYS2022,TINRO,3,20,CTD,IYS2022-TINRO-3-20-CTD,NA,2022-03-11T17:32:32Z,2022,3,11,17:32:32,17:59:50,27,NA,UTC,0,1000,NA,48.81895,-155.97762,48.81946,-155.96449,3900,NA,250,36,2.5,NA,NA,NA,70
IYS2022,TINRO,3,21,CTD,IYS2022-TINRO-3-21-CTD,NA,2022-03-12T11:47:24Z,2022,3,12,11:47:24,12:17:05,30,NA,UTC,0,1000,NA,50.43623,-158.37836,50.44162,-158.37453,5000,NA,80,72,3.5,NA,NA,NA,71
IYS2022,TINRO,3,22,CTD,IYS2022-TINRO-3-22-CTD,NA,2022-03-13T13:31:39Z,2022,3,13,13:31:39,13:56:10,25,NA,UTC,0,1000,NA,49.54291,-158.52379,49.54213,-158.52694,4000,NA,330,72,4,NA,NA,NA,72
IYS2022,TINRO,3,23,CTD,IYS2022-TINRO-3-23-CTD,NA,2022-03-13T22:32:33Z,2022,3,13,22:32:33,23:08:03,36,NA,UTC,0,1000,NA,48.46968,-158.37055,48.45597,-158.38011,4000,NA,280,43.2,3,NA,NA,NA,72
IYS2022,TINRO,3,24,CTD,IYS2022-TINRO-3-24-CTD,NA,2022-03-14T07:55:03Z,2022,3,14,07:55:03,08:28:33,33,NA,UTC,0,1000,NA,47.49732,-158.34222,47.51129,-158.33462,3800,NA,182,57.6,2.5,NA,NA,NA,73
IYS2022,TINRO,3,25,CTD,IYS2022-TINRO-3-25-CTD,NA,2022-03-15T16:57:00Z,2022,3,15,16:57:00,17:22:02,25,NA,UTC,0,1000,NA,46.92389,-160.93426,46.9202,-160.93892,4200,NA,300,57.6,4,NA,NA,NA,74
IYS2022,TINRO,3,26,CTD,IYS2022-TINRO-3-26-CTD,NA,2022-03-16T04:56:43Z,2022,3,16,04:56:43,05:23:27,27,NA,UTC,0,1000,NA,47.88106,-160.88602,47.87812,-160.87628,4000,NA,299,18,2,NA,NA,NA,75
IYS2022,TINRO,3,27,CTD,IYS2022-TINRO-3-27-CTD,NA,2022-03-16T14:59:27Z,2022,3,16,14:59:27,15:27:11,28,NA,UTC,0,1000,NA,48.88869,-160.8692,48.88179,-160.86055,4000,NA,330,36,2.5,NA,NA,NA,75
IYS2022,TINRO,3,28,CTD,IYS2022-TINRO-3-28-CTD,NA,2022-03-17T03:41:11Z,2022,3,17,03:41:11,04:07:06,26,NA,UTC,0,1000,NA,49.89791,-160.93317,49.89469,-160.93575,5000,NA,328,64.8,3,NA,NA,NA,76
IYS2022,TINRO,3,29,CTD,IYS2022-TINRO-3-29-CTD,NA,2022-03-18T01:48:59Z,2022,3,18,01:48:59,02:14:15,25,NA,UTC,0,1000,NA,49.64126,-163.02577,49.64105,-163.03083,5000,NA,300,72,4,NA,NA,NA,77
